Restaurants,Food Offered,Reviews,Disounts
Delite Chaat House,"Chaat, Fast Food, Street Food, Indian, North Indian, Maharashtrian, Rajasthani, ...",3.9,10% off | Use TRYNEW
Anand Sweets and Savouries,"Sweets, Snacks, North Indian, Desserts",N/A,N/A
Burger King,"American, Fast Food",N/A,60% off | Use STEALDEAL
Pockets and Bowls,"Thai, Asian, Lebanese, Burmese, Japanese, Malaysian",N/A,50% off | Use SWIGGYIT
Meghana Foods,"Biryani, Andhra, South Indian, North Indian, Chinese, Seafood",N/A,N/A
Al Daaz,"American, Arabian, Chinese, Desserts, Fast Food, Mughlai, North Indian",N/A,N/A
Zomoz - The Momo Company,"Tibetan, Chinese, Asian, Fast Food, Street Food",N/A,N/A
Le Arabia,"Arabian, Biryani, North Indian, Kerala, Chinese, Kebabs, Fast Food, Beverages, S...",3.8,60% off | Use STEALDEAL
Donne Biriyani House,"Biryani, South Indian, Kebabs",N/A,30% off | Use TRYNEW
Kannur Food Point,"Kerala, Chinese",N/A,40% off on all orders
Falahaar & Kota Kachori,North Indian,N/A,10% off | Use TRYNEW
Chaat Street,"Fast Food, Snacks, Chaat, Street Food, Beverages, Combo, North Indian, Indian, M...",N/A,15% off | Use TRYNEW
Truffles,"American, Continental, Desserts, Italian",N/A,40% off | Use TRYNEW
Sandwich Guru,"Fast Food, Snacks, Beverages",N/A,45% off on all orders
SMOOR,"Cafe, Desserts, Beverages, Bakery, Continental, Italian, Pizzas, Fast Food",N/A,60% off | Use TRYNEW
Kannur food kitchen,"Kerala, Biryani, Beverages",N/A,50% off on all orders
Leon Grill,"Turkish, Portuguese, American, Grill",N/A,60% off | Use TRYNEW
CakeZone,"Desserts, Bakery, Sweets, Ice Cream, Beverages, Juices, Bengali",N/A,N/A
Mumbai Xpress,"Fast Food, North Indian, Chinese",N/A,50% off | Use TRYNEW
Chai Point,"Bakery, Cafe, Combo, Beverages, Maharashtrian, Snacks, Street Food, South Indian...",N/A,15% off | Use PARTY
Shanthi Sagar,"North Indian, Chinese, South Indian",3.8,30% off | Use TRYNEW
Hotel Empire,"North Indian, Chinese, South Indian, Biryani",3.8,20% off | Use TRYNEW
California Burrito,"Mexican, American, Salads, Continental, Keto, Healthy Food",N/A,40% off | Use TRYNEW
KFC,"American, Fast Food, Snacks",N/A,20% off | Use TRYNEW
Onesta,"Italian, Desserts, Pizzas, American, Snacks",3.5,60% off | Use STEALDEAL
99 VARIETY AND DOSA & PAV BHAJI,South Indian,3.9,20% off | Use UNLIMITED
Corner House Ice Cream,"Ice Cream, Desserts",N/A,N/A
MTR,South Indian,N/A,N/A
Kundana Andhrastyle family restaurant,"Biryani, North Indian, Chinese, Andhra, Mughlai, Hyderabadi, Punjabi, Tandoor, I...",3.8,60% off | Use TRYNEW
McDonald's,"American, Fast Food",N/A,N/A
Cafe Grill,North Indian,N/A,N/A
FICO,"Pizzas, Desserts, Pastas",N/A,60% off | Use STEALDEAL
Kanti Sweets,Sweets,N/A,N/A
The Tea Brewery,"Beverages, Snacks, Bakery, Desserts",N/A,40% off | Use TRYNEW
Hari Super Sandwich,"Fast Food, Street Food",N/A,20% off | Use TRYNEW
Namaste,"South Indian, Thalis, Biryani, Fast Food, Desserts, Beverages, Indian",N/A,50% off on all orders
Rolls Kitchen,Fast Food,N/A,N/A
99 VARIETY AND DOSA & PAV BHAJI,South Indian,3.9,20% off | Use UNLIMITED
Subway,"Fast Food, Salads, Snacks, Desserts, Beverages",N/A,N/A
Colombo Idli House,"South Indian, Sri Lankan, Combo, Snacks, Fast Food, Italian, Tandoor",N/A,20% off | Use TRYNEW
Paratha Box - 2X Filling,"North Indian, Punjabi, Fast Food, Indian, Beverages, Snacks, Healthy Food",N/A,50% off | Use TRYNEW
Shree Mahalakshmi Sweets,"Sweets, Snacks",3.9,50% off | Use TRYNEW
Purani Dilli By Anand Sweets,"North Indian, Chaat, Snacks, Chinese, Fast Food",N/A,N/A
Rajvardhan Foods,Maharashtrian,N/A,40% off | Use TRYNEW
A2B Veg,"South Indian, North Indian, Sweets, Chinese",3.7,N/A
Sri Krishna sagar,"South Indian, North Indian, Fast Food, Beverages, Jain",N/A,N/A
Udupi Palace,"Beverages, Biryani, Chinese, Desserts, North Indian, South Indian",N/A,20% off | Use TRYNEW
Nagarjuna,"Andhra, South Indian, Biryani, Combo, Beverages, Desserts",N/A,N/A
Nandhana Palace,"Biryani, Andhra, South Indian, North Indian",N/A,20% off | Use TRYNEW
Thalaivars Biryani,"Andhra, Biryani, Hyderabadi, South Indian, Indian, Combo, Beverages",N/A,40% off | Use TRYNEW
Dindigul Thalappakatti,"South Indian, Chinese",N/A,20% off | Use JUMBO
SMOKE HOUSE DELIVERY,"European, Italian, American, Pastas, Salads, Juices, Desserts, Combo",N/A,50% off | Use TRYNEW
Anjappar,"Chettinad, Thalis, Biryani, Chinese, Tandoor, South Indian, North Indian",3.9,60% off | Use TRYNEW
Momo Rice Noodles,"Chinese, Thai",N/A,20% off | Use PARTY
Wow! China,"Tibetan, Fast Food, Chinese, Asian, Snacks, Continental, Desserts, Beverages",N/A,50% off | Use TRYNEW
Homelike,"Home Food, North Indian, Biryani, Thalis, Beverages, Chinese, Healthy Food, Indi...",N/A,60% off | Use STEALDEAL
Hatti Kaapi - Coffee and more,"Beverages, Fast Food, South Indian, Snacks, Bakery, Combo",N/A,30% off | Use TRYNEW
Fish & Fries,"Seafood, Bengali, Thalis, Biryani, Continental, Indian, Fast Food, Steakhouse",N/A,20% off | Use TRYNEW
Simpli Tiffins,South Indian,3.8,60% off | Use TRYNEW
Pizza Hut,"Pizzas, Fast Food",N/A,N/A
Mallu family Restaurant,"Indian, Chinese, Arabian",3.4,50% off | Use TRYNEW
Rolls Mafia,Fast Food,N/A,20% off on all orders
Little Italy,"Pizzas, Salads, Combo, Italian, Mexican, Desserts, Beverages",N/A,60% off | Use DEAL60
"Asia Alive, DoubleTree Suites by Hilton Bangalore","North Indian, Indian, Fast Food, Snacks, Chinese",N/A,50% off | Use TRYNEW
Belgian Waffle Factory,"American, Desserts, Fast Food",N/A,60% off | Use STEALDEAL
TATA Cha - Chai Warmth,"Bakery, Fast Food, Street Food, Beverages, Maharashtrian, Indian",N/A,60% off | Use STEALDEAL
Pasta Street,"Italian, Pizzas, Pastas, Desserts, Beverages",N/A,40% off | Use TRYNEW
